tokenized_and_stemmed,tweet_english
mulai sikap tolak pindah ikn tolak naik pajak motor revisi uu ite baru timbang minta,"Starting from a stance of refusing to move, to refusing to increase the revised motorbike tax law, then consider asking"
memorial park ikn hormat pahlawan diri bangsa,The memorial park honors the nation's heroes
istana presiden ikn fungsi mulai juni 2024,IKN Presidential Palace functions from June 2024
ikn bangga,I'm proud
ubah apa ganjar masih komitmen terus ikn lanjut bansos kurang justru malah tambah cakup,"Change what the reward is, still make a commitment to continue, social assistance is less than enough, in fact it becomes more comprehensive"
wujud indonesia sentris bangun ikn,Indonesia-centric form of building IKN
remeh ikn kan udah jadi undang ikn dukung lembaga negara kalau kritis ikn beda sama orang kritis thp food estate yang rugi negara rp 6 triliun rusak lingkung amp rugi masyarakat adat persis orde baru,"It's trivial, fish has become a law, support state institutions if it's critical, fish is different from critical people, but food estates cost the state Rp. 6 trillion, damage to the environment & losses to indigenous communities, exactly the same as the New Order"
jangan gitu bang sibuk push ikn biar tanah adinda lakuuu,"Don't be like that, bro, busy pushing fish so that your land will do well"
bangun ikn nusantara melindugi lestari hutan,build the archipelago's fisheries to protect sustainable forests
ikn lindung kawasan hutan satwa,protected fish and animal forest areas
solusi affordable housing tengah kota public housing model singapore upgrade metropolitan upgrade 40 kota amin alih alih ikn,"Affordable housing solutions in the middle of the city, public housing model, Singapore upgrade, metropolitan upgrade, 40 cities, Amen, IKN transfer"
tahap satu bangun jalan tol ikn ini jalan tiga seksi seksi 3a karangjoang-kkt kariangau panjang 13 4 kilometer progres 48 persen,phase one of building the IKN toll road is a three section road section 3a karangjoang-kkt kariangau length 13 4 kilometers progress 48 percent
ikn sangat beri dampak positif bangsa,IKN really has a positive impact on the nation
ikn jadi kota kualitas,IKN is a city of quality
ikn tingkat ekonomi indonesia,the level of the Indonesian economy
mantap benar nih ikn,that's really cool
pkb paling dosa nya ikn,PKB is the biggest sin
edisi cari calon istri nih  asn pria lahir thn 1998 dom jakpus kriteria islam umur lebih muda mau tinggal ikn kalo mba mba jawa sila balas tweet siapa cepat dapat,"This edition of looking for a future wife is a male candidate born in 1998 in Jakarta, Islamic criteria, younger age, want to stay, if you are a Javanese lady, please reply to the tweet, first come first served"
makanya penting makan drpada ikn mewah,That's why it's important to eat instead of luxury fish
lama janji jokowi kena esemka indosat hutang bagi2 kursi import rupiah roket ikn non apbn bukti lama 9 tahun masih yang percaya ucap jokowi dukung pilih no 1 amin,long ago Jokowi's promise was subject to esemka Indosat's debt for 2 seats imported rupiah rocket IKN non APBN old proof 9 years old still believers said Jokowi supports vote no 1 amen
sorry kaya jawab kena lahan ratus ribu hektar yang nanti bengkalai ikn terus mau apa  barangkali yang udh nangkap jawab bantu cerah ngab,"sorry, it's like answering about hundreds of thousands of hectares of land that will be abandoned later, so what do you want? Maybe those who have been arrested will answer, help bright, bro."
bisa argumen soal ikn bukan solusi perata rasa tidak punya influence ajak orang lihat argumen beda argumen bisa guna jadi alat kampanye bang tahan dulu bang saya tau anda udah gatel ,"You can argue about fish, it's not a solution to level out feelings, it doesn't have influence, invites people to look at different arguments, arguments can be used as a campaign tool, bro, hold on, bro, I know you're already confused."
saya tau argumen karna dukung ikn perata jakarta butuh anies selesai program but ayo lah bro you know makin suara sadar dukung 01 makin besar konten kamu guna serang 01,I know the argument for supporting IKN Perata Jakarta needs Anies to finish the program but come on bro you know the more conscious voices support 01 the greater your content will be for Serang 01
nusantara green pesantren upaya wujud visi ikn kota hutan yang lanjut kompascom baca berita iklan download aplikasi,"Nusantara Green Islamic Boarding School is an effort to realize the vision of IKN, a forest city that continues Kompascom, read news, advertisements, download the application"
jepang bakal kembang bandara pinggan balikpapan jadi pintu masuk ikn,Japan will develop Pinggan Balikpapan airport to become the entrance to IKN
menteri kerja umum rumah rakyat pupr basuki hadimuljono tak mau tahu proyek jalan tol ibu kota negara ikn nusantara ikn kaliman,Public Works Minister PUPR Basuki Hadimuljono doesn't want to know about the toll road project for the country's capital IKN Nusantara IKN Kaliman
yg jelas proyek ikn,What is clear is the IKN project
perintah target plts 50 mau pasok listrik ikn,PLTS 50 target command wants to supply IKN electricity
couldn t agree more aku mantab dukung pak anies bukan karena profil beliau jg dengar langsung papar analisa tim ttg ikn pak tom lembong pakar investasi prof sulfikar amir pakar sosiologi kota november lalu baru telah poin visi misi,"couldn't agree more, I really support Mr. Anies, not because of his profile, I also listened directly to the team's analysis of IKN, Mr. Tom Lembong, investment expert, Prof. Sulkar Amir, city sociology expert. Last November, I just had the vision and mission points"
kalau 5 pulau besar penuh standar butuh kembang aman posture infrastruktur sejahtera dengan sendiri indonesia mamur sejahtera sebab tuju ikn itu logis sebar cepat bangun,"if the 5 big islands are full of standards, they need safe development, prosperous infrastructure posture, Indonesia is prosperous, because the goal of fish is logical, spread quickly, build"
oikn ajak university of maryland as riset bijak ikn,Oikn invites University of Maryland US to research wise IKN
pak tua makan mulu dikampamyekan duit mana belumm proyek ikn kereta cepat naik pajak cekik rakyat,"The old man is always campaigning for money, but the high-speed train project will increase taxes, strangling the people"
awal ikn penuh tipudaya,The beginning was full of deception
jokowi the king of indonesia s game theory lawan jadi kawan pepet truly game maker jujur skeptis jokowi nyusun strategi sendiri you know la it s so over for us ikn libas kabeh broo,jokowi the king of indonesia's game theory opponents become friends pepet truly game maker honest skeptic jokowi makes his own strategy you know la it's so over for us ikn libas kabeh broo
kurang cukup sang raja menfaatkan orang dayak buat tameng nya  tidak sadar janji bangun dayak center di ikn nyata nol putul,"It wasn't enough that the king used Dayak people as shields, he didn't realize that the promise to build a Dayak center in IKN was actually zero putul."
uji coba mobil terbang 2024 ikn nusantara,2024 IKN Nusantara flying car trial
simbol lanjut prabowo-gibran paling komitmen tuntas bangun ikn radar kudus radar kudus,Prabowo-Gibran's next symbol is the most committed to completely building IKN Kudus Radar Kudus Radar
simbol lanjut prabowo-gibran paling komitmen tuntas bangun ikn radar kudus radar kudus,Prabowo-Gibran's next symbol is the most committed to completely building IKN Kudus Radar Kudus Radar
bangun ikn nusantara dampak positif lingkung,build the archipelago's economy with positive environmental impacts
ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
menteri kerja umum rumah rakyat pupr basuki hadimuljono janji kualitas jalan tol ikn nusantara baik indonesia,Public Works Minister PUPR Basuki Hadimuljono promises that the quality of Indonesia's IKN archipelago toll road will be good
pajak naik pertalite hilang untuk biaya ikn defisit kcic,Pertalite's tax increase was lost to cover KCIC's deficit IKN costs
memang panutan sih jangan2 islam mu cuma ktp ,It's true that your role model isn't just an ID card
metland tambun bekas mjd tempat kata ortunya gen milenial amp z rawan paktua-bayi nepotisme itu ciputra milik metland dukung ikn woy berani bahas fakta ini ga culi videotron kait pihak politik toh,"Metland has become a place where parents say millennial genes are prone to nepotism, that's Metland's ciputra, support IKN, wow, dare to discuss this fact, don't be fooled by Videotron's connection to political parties, anyway"
4 usaha jepang tarik kembang bandara pintu masuk ikn,4 Japanese businesses attracting flowers at the airport entrance to IKN
wow dana mana kan udah habis buat susu makan siang gratis pak lagi ikn dari pajak motor bensin,"Wow, where have you run out of funds for free lunch milk, sir, and the money comes from motorbike petrol tax"
duit darimana apbn mulai gerus ikn,Where does the money come from when the APBN starts to erode IKN
tol becakkayu tiang pancang udah puluh tahun sampe akhir jadi tol becakkayu bayang kalo ikn kondisi kaya sekrng ngga tuntas jadi,The Becakkayu toll road has been piling for decades until it finally became the Becakkayu toll road. Imagine if the current conditions were not complete
stop politik dynasty udah terobos stop ikn stop food estate uang maju didik udah itu terobos,"stop dynasty politics, it has been broken through, stop ikn, stop food estate, money, advance education, it has been broken through"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
naik cuma buat ikn mah fak kata teh,"I only go up for fish, fak said"
 food estate ikn kendeng pakel tumpang pitu papua geotherman dieng rob semarang asap jakarta wadas tamansari dago elos rempang urutsewu tambang emas trenggalek nyia,food estate IKN Kendeng Pakel Overlapping Pitu Papua Geotherman Dieng Rob Semarang Smoke Jakarta Wadas Tamansari Dago Elos Rempang Urutsewu Gold Mine Trenggalek Nyia
atrbpn menteri agraria tata ruang kepala badan tanah nasional atr bpn had tjahjanto damping presiden ri joko widodo rangkai leta batu pertama groundbreaking tinjau bangun ibu kota nusantara ikn,ATRBPN Minister of Agrarian Spatial Planning Head of National Land Agency ATR BPN Had Tjahjanto Accompanying President of the Republic of Indonesia Joko Widodo Sangkai Leta First Stone Groundbreaking Review Building Archipelago Capital IKN
bloomberg yang dulu sebut ikn beranta benar tidak bukti,"Bloomberg, who previously called IKN a mess, has no proof"
om bonnie boleh tiru ara sukses ngumpulin setor usaha atas nama partai maupun gelap bijak ijin dll diurusin besar feenya tajir inves ikn bareng aguan punya rumah jalan diponegoro kiat anggota dpr jadi usaha kaya,"uncle bonnie, can you imitate how to successfully collect business deposits in the name of the party or how to get rid of permits, etc., take care of big fees, earn money, invest in fish together with me, have a house on Jalan Diponegoro, tips for DPR members to become rich in business"
