full_text,tokenized_and_stemmed,tweet_english
jangan2 konspirasi cetus ikn proyek reklamasi cegat jadi nyari lahan baru kalo beneran pantes abah jegal habis2an cukong2 udh keluar duit banyak biar proyek ttp jalan,jangan2 konspirasi cetus ikn proyek reklamasi cegat jadi nyari lahan baru kalo beneran pantes abah jegal habis2an cukong2 udh keluar duit banyak biar proyek ttp jalan,"Don't let the conspiracy spark the reclamation project being stopped so you'll look for new land. If it's really worth it, you're going all out. The barons have already spent a lot of money to keep the project going."
1 pontianak emang bagi apa ikn sdh jadi 2 makan siang gratis bukan solusi cegah stunting 3 kalau mau debat jangan belakang orgnya pak lgsg didpn orang nya debat capres kmrn,1 pontianak emang bagi apa ikn sdh jadi 2 makan siang gratis bukan solusi cegah stunting 3 kalau mau debat jangan belakang orgnya pak lgsg didpn orang nya debat capres kmrn,"1 Pontianak, what's the use of fish that have already become 2 Free lunches are not a solution to prevent stunting 3 If you want to debate, don't go behind the person, sir, go directly in front of the person, debate the presidential candidate yesterday"
makin yakin sdg baik pokok ngartikannya balik antithesisnya kalau hari koordinasi jadi sungguh bukan koordinasi rekreasi pelosok negeri cari solusi macet investasi ikn,makin yakin sdg baik pokok ngartikannya balik antithesisnya kalau hari koordinasi jadi sungguh bukan koordinasi rekreasi pelosok negeri cari solusi macet investasi ikn,"increasingly confident that it is good, the main thing is to reinterpret the antithesis if the day of coordination is really not a coordination of recreation across the country looking for a solution to the stalled fish investment"
mass transit proper sampe plosok  ikn ,mass transit proper sampe plosok ikn,Mass transit proper until Plosok IKN
pusat latih pssi ikn dapat perhati presiden jokowi progres bangun 20 target selesai mei 2024 harap besar lahir atlet kelas dunia indonesia,pusat latih pssi ikn dapat perhati presiden jokowi progres bangun 20 target selesai mei 2024 harap besar lahir atlet kelas dunia indonesia,PSSI IKN training center can pay attention to President Jokowi's progress in building 20 targets for completion in May 2024. Great hope for world class Indonesian athletes to be born
bapak banyak ngejelasin mulai problema bumn konstruksi potensi ikn capres taktik jatuh lawan politik so fun  padahal aku banyak ngga tau apa cmn nanya doang bapak detail jelasin semuaaa makasih pak,bapak banyak ngejelasin mulai problema bumn konstruksi potensi ikn capres taktik jatuh lawan politik so fun padahal aku banyak ngga tau apa cmn nanya doang bapak detail jelasin semuaaa makasih pak,"You explained a lot, starting from the problems of state-owned construction, potential presidential candidates, tactics for falling political opponents, it was so fun, even though I didn't know a lot, just ask, sir, explain everything in detail, thank you, sir."
iseng ah tolak mbak2 jawa lebih tua 7 tahun urus tinggal ikn sekarang sedang dinas salah satu kab kalimantan,iseng ah tolak mbak2 jawa lebih tua 7 tahun urus tinggal ikn sekarang sedang dinas salah satu kab kalimantan,"Just for fun, reject it, Javanese ladies, 7 years older, take care of it, live in fish, now I'm serving in one of the districts of Kalimantan"
gila bang ara nyata maneuvernya kurang rapih main dulu kek wkwkkw cari investor buat ikn misal aguan kawan saja main rapi netral kmn2 sibuk cari cuan kan skrg bang ara bisnismen bgt,gila bang ara nyata maneuvernya kurang rapih main dulu kek wkwkkw cari investor buat ikn misal aguan kawan saja main rapi netral kmn2 sibuk cari cuan kan skrg bang ara bisnismen bgt,"It's crazy, bro, it's real that your maneuvers aren't very neat, just play first, wow, look for investors for fish, for example, friends, just play neatly, neutral, but you're busy looking for money right now, Bro, you're really a businessman."
ketemu prabowo panglima jilah titip pesan soal ikn hingga menteri,ketemu prabowo panglima jilah titip pesan soal ikn hingga menteri,"met with Prabowo, Panglima Jilah, entrusted a message about fish to the minister"
badan otorita ikn umum daftar menang kompetisi karya jurnalis ikn,badan otorita ikn umum daftar menang kompetisi karya jurnalis ikn,public fish authority body lists winners of competition for works by fish journalists
hahaha satu proyek ikn,hahaha satu proyek ikn,hahaha one fish project
aku jauh sih kalo ikn rumah 2 jam,aku jauh sih kalo ikn rumah 2 jam,I'm far away if I'm home for 2 hours
kapasitas hkti apa dukung ikn,kapasitas hkti apa dukung ikn,What real capacity supports fish?
ikn salah satu nawacita pdip,ikn salah satu nawacita pdip,IKN is one of the PDP Nawacita
mulai sikap tolak pindah ikn tolak naik pajak motor revisi uu ite baru timbang minta,mulai sikap tolak pindah ikn tolak naik pajak motor revisi uu ite baru timbang minta,"Starting from a stance of refusing to move, to refusing to increase the revised motorbike tax law, then consider asking"
memorial park ikn hormat pahlawan diri bangsa,memorial park ikn hormat pahlawan diri bangsa,The memorial park honors the nation's heroes
istana presiden ikn fungsi mulai juni 2024,istana presiden ikn fungsi mulai juni 2024,IKN Presidential Palace functions from June 2024
ikn bangga,ikn bangga,I'm proud
ubah apa ganjar masih komitmen terus ikn lanjut bansos kurang justru malah tambah cakup,ubah apa ganjar masih komitmen terus ikn lanjut bansos kurang justru malah tambah cakup,"Change what the reward is, still make a commitment to continue, social assistance is less than enough, in fact it becomes more comprehensive"
wujud indonesia sentris bangun ikn,wujud indonesia sentris bangun ikn,Indonesia-centric form of building IKN
siapa remeh ikn kan udah jadi undang arti ikn dukung semua lembaga negara kalau kritis ikn beda sama orang kritis thp food estate rugi negara rp 6 triliun rusak lingkung amp rugi masyarakat adat persis orde baru,siapa remeh ikn kan udah jadi undang arti ikn dukung semua lembaga negara kalau kritis ikn beda sama orang kritis thp food estate rugi negara rp 6 triliun rusak lingkung amp rugi masyarakat adat persis orde baru,"who is trivial, fish has become a law, the meaning of fish is to support all state institutions, if it is critical, fish is different from people who are critical, food estate, loss to the state of IDR 6 trillion, damage to the environment & losses to indigenous communities, exactly the same as the New Order"
jangan gitu bang sibuk push ikn biar tanah adinda lakuuu,jangan gitu bang sibuk push ikn biar tanah adinda lakuuu,"Don't be like that, bro, busy pushing fish so that your land will do well"
bangun ikn nusantara melindugi lestari hutan,bangun ikn nusantara melindugi lestari hutan,build the archipelago's fisheries to protect sustainable forests
ikn lindung kawasan hutan satwa,ikn lindung kawasan hutan satwa,protected fish and animal forest areas
solusi affordable housing tengah kota public housing model singapore upgrade metropolitan upgrade 40 kota amin alih alih ikn,solusi affordable housing tengah kota public housing model singapore upgrade metropolitan upgrade 40 kota amin alih alih ikn,"Affordable housing solutions in the middle of the city, public housing model, Singapore upgrade, metropolitan upgrade, 40 cities, Amen, IKN transfer"
tahap satu bangun jalan tol ikn ini jalan tiga seksi seksi 3a karangjoang-kkt kariangau panjang 13 4 kilometer progres 48 persen,tahap satu bangun jalan tol ikn ini jalan tiga seksi seksi 3a karangjoang-kkt kariangau panjang 13 4 kilometer progres 48 persen,phase one of building the IKN toll road is a three section road section 3a karangjoang-kkt kariangau length 13 4 kilometers progress 48 percent
ikn sangat beri dampak positif bangsa,ikn sangat beri dampak positif bangsa,IKN really has a positive impact on the nation
ikn jadi kota kualitas,ikn jadi kota kualitas,IKN is a city of quality
ikn tingkat ekonomi indonesia,ikn tingkat ekonomi indonesia,the level of the Indonesian economy
mantap benar nih ikn,mantap benar nih ikn,that's really cool
pkb paling dosa nya ikn,pkb paling dosa nya ikn,PKB is the biggest sin
edisi cari calon istri nih  asn pria lahir thn 1998 dom jakpus kriteria islam umur lebih muda mau tinggal ikn kalo mba mba jawa sila balas tweet siapa cepat dapat,edisi cari calon istri nih asn pria lahir thn 1998 dom jakpus kriteria islam umur lebih muda mau tinggal ikn kalo mba mba jawa sila balas tweet siapa cepat dapat,"This edition of looking for a future wife is a male candidate born in 1998 in Jakarta, Islamic criteria, younger age, want to stay, if you are a Javanese lady, please reply to the tweet, first come first served"
makanya penting makan drpada ikn mewah,makanya penting makan drpada ikn mewah,That's why it's important to eat instead of luxury fish
lama janji jokowi kena esemka indosat hutang bagi2 kursi import rupiah roket ikn non apbn bukti lama 9 tahun masih yang percaya ucap jokowi dukung pilih no 1 amin,lama janji jokowi kena esemka indosat hutang bagi2 kursi import rupiah roket ikn non apbn bukti lama 9 tahun masih yang percaya ucap jokowi dukung pilih no 1 amin,"long ago Jokowi's promise would be subject to esemka, Indosat's debt for 2 seats, imported rupiah rockets, non-APBN non-APBN proof, 9 years old, still those who believe Jokowi's words support vote no. 1, amen"
sorry kaya jawab kena lahan ratus ribu hektar yang nanti bengkalai ikn terus mau apa  barangkali yang udh nangkap jawab bantu cerah ngab,sorry kaya jawab kena lahan ratus ribu hektar yang nanti bengkalai ikn terus mau apa barangkali yang udh nangkap jawab bantu cerah ngab,"sorry, it's like answering about hundreds of thousands of hectares of land that will be abandoned later, so what do you want? Maybe those who have been arrested will answer, help bright, bro."
bisa argumen soal ikn bukan solusi perata rasa tidak punya influence ajak orang lihat argumen beda argumen bisa guna jadi alat kampanye bang tahan dulu bang saya tau anda udah gatel ,bisa argumen soal ikn bukan solusi perata rasa tidak punya influence ajak orang lihat argumen beda argumen bisa guna jadi alat kampanye bang tahan dulu bang saya tau anda udah gatel,"You can argue about fish, it's not a solution to level out feelings, it doesn't have influence, it invites people to look at different arguments, arguments can be used as a campaign tool, bro, hold on, bro, I know you're already confused."
saya tau argumen karna dukung ikn perata jakarta butuh anies selesai program but ayo lah bro you know makin suara sadar dukung 01 makin besar konten kamu guna serang 01,saya tau argumen karna dukung ikn perata jakarta butuh anies selesai program but ayo lah bro you know makin suara sadar dukung 01 makin besar konten kamu guna serang 01,I know the argument for supporting IKN Perata Jakarta needs Anies to finish the program but come on bro you know the more conscious voices support 01 the greater your content will be for Serang 01
nusantara green pesantren upaya wujud visi ikn kota hutan yang lanjut kompascom baca berita iklan download aplikasi,nusantara green pesantren upaya wujud visi ikn kota hutan yang lanjut kompascom baca berita iklan download aplikasi,"Nusantara Green Islamic Boarding School is an effort to realize the vision of IKN, a forest city that continues Kompascom, read news, advertisements, download the application"
jepang bakal kembang bandara pinggan balikpapan jadi pintu masuk ikn,jepang bakal kembang bandara pinggan balikpapan jadi pintu masuk ikn,Japan will develop Pinggan Balikpapan airport to become the entrance to IKN
menteri kerja umum rumah rakyat pupr basuki hadimuljono tak mau tahu proyek jalan tol ibu kota negara ikn nusantara ikn kaliman,menteri kerja umum rumah rakyat pupr basuki hadimuljono tak mau tahu proyek jalan tol ibu kota negara ikn nusantara ikn kaliman,Public Works Minister PUPR Basuki Hadimuljono doesn't want to know about the toll road project for the country's capital IKN Nusantara IKN Kaliman
yg jelas proyek ikn,yg jelas proyek ikn,What is clear is the IKN project
perintah target plts 50 mau pasok listrik ikn,perintah target plts 50 mau pasok listrik ikn,PLTS 50 target command wants to supply IKN electricity
couldn t agree more aku mantab dukung pak anies bukan karena profil beliau jg sejak dengar langsung papar analisa tim ttg ikn pak tom lembong pakar investasi prof sulfikar amir pakar sosiologi kota november lalu baru telah poin visi misi,couldn t agree more aku mantab dukung pak anies bukan karena profil beliau jg sejak dengar langsung papar analisa tim ttg ikn pak tom lembong pakar investasi prof sulfikar amir pakar sosiologi kota november lalu baru telah poin visi misi,"Couldn't agree more, I really support Mr. Anies, not because of his profile, since I heard directly the team's analysis about IKN, Mr. Tom Lembong, investment expert, Prof. Sulkar Amir, city sociology expert, last November, I just had the vision and mission points"
